,X111CU,X1122O,X117YX,X11DXX,X11EQ9,X11LCK,X11NSD,X11P7K,X11P81,X11VI4,X11XUK,X1211K,X12BJ1,X12WSD,X12WSG,X12WSJ,X12WSK,X12WSN,X13111,X131XE,X131XG,X132QS,X1399R,X1399S,X139T6,X139YR,X13CF3,X13FH7,X13N11,X13PL7,X13PVR,X13U4I,X13VXT,X13X6H,X145MN,X146FR,X14BMU,X14DAR,X14E1K,X14E6E,X14JG6,X14PJ4,X14PJ6,X14PK6,X14PN3,X15CHC,X15CHQ,X15DYW,X15ER7,X16MT8,X17F96,X17F97,X17F98,X17F9E,X17GQL,X17HHE,X18A66,X18A67,X1A3MV,X1AMFI,X1AX9K,X1B8KZ,X1B97I,X1B97J,X1C475,X1C4CL,X1C64O,X1C6VQ,X1CB4E,X1CB4F,X1CB4I,X1F5PK,X1F5PL,X1F75I,X1GF9U,X1GZ4H,X1H3O1,X1H3VY,cell_type_mean,cell_type,method
memory.b.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0.8,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0.517051282051282,memory.b.cell,DeconRNASeq
classical.monocyte3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,classical.monocyte,DeconRNASeq
neutrophil3,16.92,16.91,17.48,15.06,14.6,18.07,14.23,17.02,17.25,16.35,13.03,14.6,15.23,11.65,19.46,15.74,17.3,18.55,16.03,15.16,14.51,14.28,17.78,16.53,14.05,23.09,15.61,13.44,14.95,15.55,12.71,19.45,18.48,16.98,19.12,13.55,18.73,16.85,13.74,15.78,15.02,18.97,20.62,15.8,15.81,20.63,17.6,12.1,12.2,15.67,16.72,17.59,18.34,16.15,16.14,15.21,17.08,15.37,19.13,15,20.74,15.59,16.87,14.04,14.22,15.25,20.79,10.3,14.76,15.01,16.67,18.72,15.1,15.64,14.13,14.43,17.09,15.54,16.1776923076923,neutrophil,DeconRNASeq
naive.b.cell3,18.41,20.6,15.32,21.22,14.07,16.13,22.19,16.38,18.2,19.21,23.66,22.68,19.7,17.41,10.87,17.12,12.47,10.4,14.61,20.25,15.13,15.76,11.44,22.15,20,6.13,21.27,25.4,21.92,16.5,21.87,4.86,14.6,19.87,10.07,27.15,17.31,20.76,27.64,22.51,22.06,11.46,11.93,23.76,21.23,5.7,6.75,17.77,18.93,23.88,17.95,10.94,14.26,18.82,13.33,17.04,21.8,16.63,13.28,24.64,11.81,20.61,16.86,22.02,19.63,17.72,13.17,15.48,18.92,14.13,21.2,17.52,14.85,16.74,29.62,18.7,18.51,20.35,17.605641025641,naive.b.cell,DeconRNASeq
plasma.cell3,3.18,6.09,16.71,1.64,0.08,4.99,5.1,5.89,3.83,11.35,0,1.59,2.19,0,16.06,0,15.52,9.82,7.14,7.86,3.26,1.25,14.32,4.67,0,19.18,7.79,5.22,12.95,9.47,0,21.75,16.31,0,16.97,0,0,7.05,4.57,5.13,3.71,5.96,22.04,3.11,4.84,24.79,2.8,0,0,0,0,0,6.88,8.01,9.84,9.99,17.54,5.14,17.07,2.2,0.24,9.1,0,7.05,1.98,6.27,5.01,0,2.3,6.71,1.39,11.28,8.91,7.28,2.42,2.32,2.3,10.82,6.3875641025641,plasma.cell,DeconRNASeq
cd4.positive.alpha.beta.memory.t.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0.0537179487179487,cd4.positive.alpha.beta.memory.t.cell,DeconRNASeq
nkt.cell3,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,1.06,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0.34,0,0,0,0,0.1,0.12,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0725641025641026,nkt.cell,DeconRNASeq
naive.thymus.derived.cd8.positive.alpha.beta.t.cell3,1.79,1.97,0,5.37,3.45,3.67,2.13,2.59,2.03,0,5.11,3.31,5.5,2.69,0,5.24,0,0,2.12,2.19,5.61,4.57,0,0,6.49,0,1.67,0.89,0,1.37,5.27,0,0,0,0,5.15,3.51,0,0,0,3.82,1.78,0,3.08,3.36,0,2.56,5.17,12.39,4.02,4.73,4.14,1.54,1.04,0,0,0,2.39,0,2.73,4.37,0.91,5.07,0.66,1.45,0,3.48,0,2.87,0,5.36,0,0,2.33,3.85,6.65,6.09,0,2.30166666666667,naive.thymus.derived.cd8.positive.alpha.beta.t.cell,DeconRNASeq
nk.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nk.cell,DeconRNASeq
innate.lymphoid.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,innate.lymphoid.cell,DeconRNASeq
erythrocyte3,12.57,11,15.55,14.92,16.73,13.68,11.08,16.51,11.53,15.83,10.83,12.24,13.34,6.74,11.98,12.68,16.41,12.38,13.76,10.78,10.28,12.4,15.49,11.84,11.95,15.57,11.42,11.92,12.38,14.89,11.19,16.85,14.33,9.23,13.06,12.41,10.1,12.52,11.87,11.77,12.14,12,16.55,13.67,13.89,18.6,22.91,5.75,8.6,17.05,12.81,18.55,14.38,13.93,14.18,13.07,13.68,11.84,14.51,10.35,10.81,14.86,16.74,14.57,10.67,21.69,10.23,11.34,11.94,15.53,10.79,15.04,13.36,12.12,10.97,12.23,19.04,10.16,13.2379487179487,erythrocyte,DeconRNASeq
regulatory.t.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regulatory.t.cell,DeconRNASeq
platelet3,12.11,10.91,12.17,12.92,12.42,12.13,10.84,11.51,10.83,10.45,11.32,11.23,12.14,5.41,9.83,12.73,11.71,11.31,12.85,9.95,11.4,12.49,11.93,12.11,11.01,10.24,11.33,11.61,10.95,12.61,11.21,11.72,11.04,10.34,12.34,11.29,10.74,10.27,10.96,11.03,10.45,11.96,11.95,12.44,12.2,13.02,8.15,7.33,9.47,8.73,9.24,8.6,13.13,11.85,11.84,11.68,11.14,12.05,11.44,10.43,11.97,12.09,12.69,9.98,11.72,10.11,9.58,7.66,11.96,11.47,11.09,11.88,11.93,11.42,10.71,11.17,13.94,9.47,11.1452564102564,platelet,DeconRNASeq
Hematopoietic.stem.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematopoietic.stem.cell,DeconRNASeq
cd141.positive.myeloid.dendritic.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd141.positive.myeloid.dendritic.cell,DeconRNASeq
cd1c.positive.myeloid.dendritic.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd1c.positive.myeloid.dendritic.cell,DeconRNASeq
plasmacytoid.dendritic.cell3,9.95,7.65,5.35,5.75,7.95,7.99,12.46,5.97,14.53,8.81,13.05,6.76,8.59,7.66,10.49,10.22,13.6,11.54,7.12,12.48,9.38,11.31,15.12,9.24,8.28,8.86,9.89,10.69,10.58,6.88,9.99,14.17,4.94,16.47,8.04,13.16,10.64,12.73,8.96,12.35,10.31,10.7,3.38,8.1,4.61,2,10.29,8.1,7.93,8.37,10.2,8.84,5.52,5.3,6.58,9.89,8.36,10.55,11.55,9.86,12.82,8.88,7.53,11.97,12.99,7.5,15.09,9.58,9.28,14.81,9.43,7.36,13.67,10.49,11.01,6.36,3.89,10.07,9.52269230769231,plasmacytoid.dendritic.cell,DeconRNASeq
mature.nk.t.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mature.nk.t.cell,DeconRNASeq
cd8.positive.alpha.beta.t.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd8.positive.alpha.beta.t.cell,DeconRNASeq
others3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,others,DeconRNASeq
