,X111CU,X1122O,X117YX,X11DXX,X11EQ9,X11LCK,X11NSD,X11P7K,X11P81,X11VI4,X11XUK,X1211K,X12BJ1,X12WSD,X12WSG,X12WSJ,X12WSK,X12WSN,X13111,X131XE,X131XG,X132QS,X1399R,X1399S,X139T6,X139YR,X13CF3,X13FH7,X13N11,X13PL7,X13PVR,X13U4I,X13VXT,X13X6H,X145MN,X146FR,X14BMU,X14DAR,X14E1K,X14E6E,X14JG6,X14PJ4,X14PJ6,X14PK6,X14PN3,X15CHC,X15CHQ,X15DYW,X15ER7,X16MT8,X17F96,X17F97,X17F98,X17F9E,X17GQL,X17HHE,X18A66,X18A67,X1A3MV,X1AMFI,X1AX9K,X1B8KZ,X1B97I,X1B97J,X1C475,X1C4CL,X1C64O,X1C6VQ,X1CB4E,X1CB4F,X1CB4I,X1F5PK,X1F5PL,X1F75I,X1GF9U,X1GZ4H,X1H3O1,X1H3VY,cell_type_mean,cell_type,method
mature.nk.t.cell1,2.56,2.89,1.71,4.67,3.08,3.28,2.99,3.23,2.73,1.77,3.64,3.69,3.96,4.68,1.39,3.65,0.63,1.37,2.69,3.35,3.19,3.45,0.79,2.77,4.13,0,2.92,3.35,2.51,3.1,3.85,0,2.02,2.58,1.34,4.02,2.93,2.48,3.26,2.76,3.16,2.27,0,4.11,3.94,0,2.19,4.79,4.91,4.36,3.27,4.21,3,3.15,2.19,2.1,0.91,2.7,0.52,3.32,2.63,2.76,3.52,2.62,2.8,1.78,2.72,3.58,3.12,2.06,3.37,1.98,1.95,2.63,3.91,4.02,5.72,2.69,2.79961538461538,mature.nk.t.cell,DCQ
cd8.positive.alpha.beta.t.cell1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd8.positive.alpha.beta.t.cell,DCQ
others1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,others,DCQ
cd8.positive.alpha.beta.memory.t.cell2,1.43,4.07,0,6.18,0,0,9.49,0,5.26,2.75,5.29,0,0.59,12.29,0,10.91,0,0,0.48,4.12,0,2.37,0,9,1.41,0,2.98,4.86,8.57,0,1.32,0,0,5.16,0,6.64,4.46,2.23,10.3,3.72,1.56,0,0,9.24,1.27,0,5.66,15.2,11.76,5.95,7.59,18.24,2.36,1.57,0,3.41,10.81,9.06,0,0,0.95,3.24,7.68,1.77,3.63,10.33,4.58,3.07,4.4,7.07,0,0,0,0,11.58,0,14.31,0,3.87397435897436,cd8.positive.alpha.beta.memory.t.cell,proportionsInAdmixture
macrophage2,2.9,6.3,3.2,4.98,14.49,6.84,5.41,5.87,4.68,3.37,3.94,8.47,4.87,0,0,3,0,8.04,8.81,1.58,5.9,8.22,0.88,5.61,8.15,5.17,4.73,4.38,2.76,7.95,8.35,0.78,4.08,3.44,3.99,1.92,5.84,3.27,5.14,5.89,4.1,7.17,2.05,3.85,7.31,0.89,0,0,0,0,0,0.01,6.87,8.42,11.91,5.57,1.04,6.33,0.62,5.58,6.62,2.84,1.87,3.55,8.52,5.69,1.28,0,8.48,2.57,4.02,2.95,6.63,4.55,1.75,6.55,0,7.27,4.35974358974359,macrophage,proportionsInAdmixture
naive.thymus.derived.cd4.positive.alpha.beta.t.cell2,13.37,8.41,9.39,6.45,7.98,12.1,15.43,5.53,15.39,9.64,12.88,3.76,11.41,4.33,17.78,11.93,14.13,15.87,13.99,12.07,8.34,8.58,14.86,5.82,2.79,11.91,9.66,10.91,16.19,11.48,8,15.5,10.48,16.54,15.86,9.05,3.2,14.06,1.97,9.33,12.46,14.36,13.34,3.23,1.44,14.34,13.25,5.77,7.35,9.83,5.14,0.94,13.31,9.36,13.04,12.03,8.23,13.58,7.59,0.21,6.2,14.82,8.72,10.05,7.06,7.7,12.58,11.01,8.47,12.24,5.35,16.77,17.34,16.51,16.44,4.49,11.48,8.3,10.2653846153846,naive.thymus.derived.cd4.positive.alpha.beta.t.cell,proportionsInAdmixture
intermediate.monocyte2,7.05,2.14,1.79,2.01,5.12,4.38,2.7,5.23,4.13,5.41,2.92,1.89,1.9,2.17,3.81,1.82,2.86,4.09,3.71,2.25,2.55,4.43,2.5,2.64,2.27,5.36,2.59,2.92,2.59,3.77,1.88,2.7,1.44,7.07,3.69,2.28,3.94,2.86,1.45,1.79,3.21,6.31,2.67,1.82,2.01,2.18,2.23,2.35,1.72,1.71,1.66,0,2.8,2.12,2.28,3.12,1.95,3.1,2.25,2.66,3.31,3.58,2.99,2.56,2.74,3.55,5.54,0.58,3.7,11.97,2.65,2.15,2.2,2.93,3.75,2.35,1.52,3.15,3.04448717948718,intermediate.monocyte,proportionsInAdmixture
endothelial.cell2,4.1,7.08,3.75,8.18,6.1,4.91,4.21,7.11,5.19,2.9,4.43,9.6,6.5,10.3,6.08,8.1,1.81,3.87,6.13,3.54,8.08,7.27,2.22,5.17,9.83,1.49,4.02,4.46,3.07,5.06,8.53,0.29,6.12,3.31,3.88,2.83,9.46,4.15,6.3,4.38,5.32,4.76,1.03,5.42,7.64,2.51,15.4,12,18.2,4.93,15.8,16.43,8.08,7.02,6.28,6.51,0.33,5.88,2.24,7.26,7.06,2.01,6.83,4.11,7.07,3.3,6.33,12.83,8.55,1.63,7.19,4.36,3.62,5.4,1.8,10.9,9.86,4.98,6.08564102564103,endothelial.cell,proportionsInAdmixture
memory.b.cell2,0.21,0,0,9.02,0,0.61,2.21,1.73,0,0,5.55,4.24,3.03,16.99,1.89,3.49,0,1.31,1.42,4.23,0,0,0,0,0,0,0,3.69,0,0,5.6,0,0,0,0,1.93,0,0,0,0,0.78,0,0,7.49,0,0.86,2,17.8,6.14,13.23,0,4.16,0,0.86,1.42,0.39,0,1.86,0,0,0,3.29,3.53,0,0,0,0,4.53,4.34,0,0.86,1.64,0.18,1.23,2.31,0,10.41,0,2.00589743589744,memory.b.cell,proportionsInAdmixture
classical.monocyte2,13.28,10.2,5.06,9.61,9.66,10.58,8.18,8.6,6.96,6.11,12.02,10.31,12.41,8.13,9.16,17.55,3.09,7.18,10.06,10.35,18.85,11.8,2.6,9.97,11.18,4.03,9.62,9.09,5.33,6.63,9.3,0.52,7.31,11.12,8.37,9.54,13.23,9.23,7.57,8.73,9.81,10.47,4.75,10.56,8.29,5.21,7.99,8.6,11.71,12.28,11.93,9.65,13.14,8.06,7.46,6.26,4.62,11.51,3.94,9.88,16.35,6.13,19.47,8.3,8.19,6.75,13.52,11.7,10.47,5.92,11.39,7.26,7.89,10,8.95,9.2,12.25,4.44,9.19,classical.monocyte,proportionsInAdmixture
neutrophil2,3.6,4.29,3.09,3.75,2.42,6.22,1.37,6.25,5.17,2.27,0.73,3.16,3.26,0,3.5,2.46,2.06,4.1,2.27,2.38,1.73,2.05,2.35,3.31,2.5,5.89,2.18,0.96,1.4,2.32,0.46,2.9,5.74,3.03,4.37,1.29,7.5,3.58,0.93,2.44,3.17,5.75,5.15,3.07,4.05,4.84,3.19,0,0,1.14,3.89,3.17,6.45,3.52,2.86,1.69,1.94,2.31,3.7,3.72,8.17,1.77,4.63,1.86,1.34,1.23,7.1,0,2.75,0.78,5.6,4.92,0.96,2.85,2.22,3.39,2.1,3.05,3.04628205128205,neutrophil,proportionsInAdmixture
naive.b.cell2,8.86,16.53,15.44,11.2,5.28,6.54,11.91,7.81,9.41,17.27,10.16,16.07,7.69,9.46,1.73,3.45,8,0,3.72,8.26,6.36,6.41,6.51,23.53,13.15,6.54,12.44,16.18,16.78,8.27,9.19,6.45,12.55,12.44,2.47,19.49,13.18,12.94,25.85,18.05,12.89,1.12,8.77,16.89,22.17,0,0,9.02,7.11,8.76,12.71,0.35,4.85,11.46,2.4,10.52,29.75,6.3,19.68,22.86,3.84,9.65,6.05,14.92,16.55,16.94,5.17,6.14,9.96,7.82,13.82,7.56,3.76,4.72,20.82,9.69,1.67,14.22,10.3651282051282,naive.b.cell,proportionsInAdmixture
plasma.cell2,0,5.95,23.34,0,0,4.08,5.08,6.48,4.61,15.37,0,0,0,0,18.27,0,20.48,11.39,6.36,8.71,1.4,0,17.65,3.28,0,24.14,9.01,5.2,17.15,12.76,0,26.98,24.98,0,21.54,0,0,8.31,4.08,6.91,3.58,5.06,31.99,0,2.98,46.31,4.19,0,0,0,0,0,5.05,9.42,12.94,12.8,18.98,2.72,19.38,1.6,0,11.02,0,7.63,1.7,7.41,6.02,0,0,7.61,0,16.25,10.93,8.32,0,0.57,0,13.64,7.45653846153846,plasma.cell,proportionsInAdmixture
cd4.positive.alpha.beta.memory.t.cell2,9.2,4.14,2.6,11.12,4.74,4.69,0,5.04,1.78,1.89,10.35,9.97,15.97,6.22,0,5.17,0.61,3,0,5.67,12.89,11.49,0,5.06,15.74,0,11.24,9.22,1.44,6.55,13.77,0,1.27,4.24,1.33,9.16,5.41,6.83,10.07,10.82,9.12,2.23,0,3.34,10.59,0,0,0,3.07,7.63,11.72,11.24,2.99,3.94,2.4,0,0,0,0,12.25,8.85,4.21,0,8.51,9.37,0,0.73,16.18,1.3,0.51,11.73,4.87,3.86,8.19,1.6,16.53,0,6.13,5.4074358974359,cd4.positive.alpha.beta.memory.t.cell,proportionsInAdmixture
nkt.cell2,2.37,6.98,13.25,1.02,4.25,7.82,5.17,8.13,3.27,8.38,0,5.7,0,0,14.04,0,19.39,13.32,12.69,7.83,0.6,0,19.65,0,0.34,16.28,7.2,1.01,2.37,8.67,0.33,19.14,9.52,0,13.29,0,2,3.95,2.53,3.36,4.28,8.92,19.6,2.66,8.57,15.62,2.41,0,0,0.56,0.28,0,2.53,10.28,14.04,11.29,3.16,3.8,15.42,6.94,3.92,11.8,0,6.35,2.23,4.19,3.07,0,7,2.93,8.21,12.73,10.81,7.08,0,8.15,0,13.65,6.10679487179487,nkt.cell,proportionsInAdmixture
naive.thymus.derived.cd8.positive.alpha.beta.t.cell2,2.58,0,0,2.42,3.95,3.06,0,4.1,1.38,0,2.11,2.53,3.8,3.45,0,0,0.99,1.65,0.7,0,5.03,2.52,1.39,0,4.49,0,0,0.37,0,2.05,4.64,0.95,0,0.83,0.09,1.95,0.25,0.38,0,0,2.16,2.97,0,0.18,2.59,0,3.6,0,4.01,0,0.17,0,0.86,0,1.8,0,0,0,0,2.76,0.83,0,0.76,0,2.44,0,0.78,5.36,0,0,3.28,0,1.29,3.06,0,7.59,0,0,1.33525641025641,naive.thymus.derived.cd8.positive.alpha.beta.t.cell,proportionsInAdmixture
nk.cell2,0,2.04,0.72,0.63,0.35,1.48,2.16,1.13,0.26,1.58,0,1.44,0,3.76,1.39,0.94,0,0.91,2.61,2.8,0,0.22,0.57,0.65,0,0.53,0.6,0,0.1,0.21,0,0,0,0,0.07,1.35,2.55,0,2.2,0,0.5,0.62,1.65,3.06,0.71,0,2.18,5.46,4.22,3.09,1.96,3.66,0.89,2.27,0.33,2.14,0.67,2.97,0.65,1.57,3.39,2.43,2.86,0.35,0,2.94,2.68,0,3.43,1.73,2.13,0.54,0,0,1.56,0,5.5,0.97,1.31230769230769,nk.cell,proportionsInAdmixture
innate.lymphoid.cell2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,innate.lymphoid.cell,proportionsInAdmixture
erythrocyte2,0.83,1.8,2.81,0.92,7.65,2.52,1.78,8.27,3.93,6.47,1.42,1.56,2.05,3.23,3.88,1.3,3.2,2.92,2.26,2.58,1.78,2.26,2.32,1.28,2.64,4.8,2.21,1.29,2.12,3.19,1.04,2.46,2.93,1.55,2.39,2.42,2.31,4.16,1.26,1.96,4.09,2.02,3.54,1.9,1.64,4.08,18.63,0.94,1.4,10.63,6.8,13.16,2.4,2.35,3.43,2.32,0.95,1.95,1.93,1.23,2.09,4.02,8.31,6.92,1.41,13.18,3.38,5.75,1.49,6.17,1.18,3.41,2.84,2.26,1.39,2.59,9.55,1.97,3.475,erythrocyte,proportionsInAdmixture
regulatory.t.cell2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regulatory.t.cell,proportionsInAdmixture
platelet2,1.88,1.68,0.98,0.98,1.85,1.53,1.5,1.24,2.34,1.06,1.92,1.33,1.45,0.18,1.54,1.97,0.47,1.87,2.23,1.31,2.63,2.85,0.71,2.23,1.51,1.03,2.01,1.74,1.47,1.62,1.44,0.61,0.51,1.79,2.29,1.44,2.58,1.3,1.35,1.52,1.71,2.27,0.79,1.47,1.39,0.47,0,0.62,0.95,0,1.42,0,2.41,1.02,1.47,1.57,0.96,2.32,1.02,1.92,3.17,1.45,1.9,1.31,2.58,0.73,1.56,1.09,2.27,1.46,2.11,0.9,1.63,1.8,1.37,1.88,0.49,1.38,1.47179487179487,platelet,proportionsInAdmixture
Hematopoietic.stem.cell2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hematopoietic.stem.cell,proportionsInAdmixture
cd141.positive.myeloid.dendritic.cell2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd141.positive.myeloid.dendritic.cell,proportionsInAdmixture
cd1c.positive.myeloid.dendritic.cell2,9.98,5.99,3.17,5.16,9.02,5.76,7.54,4.73,8.34,5.5,7.58,5.14,6.25,3.62,4.78,8.92,1.69,6.02,6.93,6.28,7.59,9.05,2.21,8.47,5.86,3.29,5.38,7.03,6.39,4.9,6.09,0.96,3.57,9.7,5.03,7.47,8.25,6.21,6.79,5.82,6.29,7.49,1.36,6.79,4.36,0,5.99,5.48,6.47,4.56,6.24,4.71,8.74,5.34,4.05,6.26,7.3,8.98,3.72,5.87,7.87,5.92,8.65,7.46,6.89,7.51,8.34,6.56,7.26,9.43,5.51,4.05,6.08,5.78,7.6,3.58,6.04,4.72,6.0475641025641,cd1c.positive.myeloid.dendritic.cell,proportionsInAdmixture
plasmacytoid.dendritic.cell2,18.35,12.39,11.42,16.38,17.14,16.89,15.87,12.77,17.89,10.03,18.71,14.82,18.81,15.86,12.14,18.42,21.22,14.46,15.62,16.03,16.26,20.48,23.58,13.96,18.13,9.52,14.14,16.72,12.27,14.57,20.05,19.78,9.51,19.77,11.36,21.23,15.83,16.56,12.22,15.28,14.96,18.48,3.3,19.04,12.98,2.71,13.27,16.75,15.92,15.7,12.71,14.14,16.27,12.98,11.88,14.12,9.31,17.34,17.85,13.66,17.37,11.81,15.75,14.35,18.29,8.55,17.33,15.21,16.15,20.17,14.96,9.64,19.99,15.32,16.85,12.53,14.83,12.12,15.1414102564103,plasmacytoid.dendritic.cell,proportionsInAdmixture
mature.nk.t.cell2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00923076923076923,mature.nk.t.cell,proportionsInAdmixture
cd8.positive.alpha.beta.t.cell2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cd8.positive.alpha.beta.t.cell,proportionsInAdmixture
others2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,others,proportionsInAdmixture
cd8.positive.alpha.beta.memory.t.cell3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176410256410256,cd8.positive.alpha.beta.memory.t.cell,DeconRNASeq
macrophage3,6.4,8.02,2.75,4.87,12.51,7.17,8.18,5.52,6.97,3.97,7.85,8.64,6.71,0.88,1.97,7.3,0,11.38,9.31,4.87,11.28,9.8,0.41,7.76,9.25,5.56,7.56,6.34,4.01,6.81,10.02,0,4.13,8.21,5.74,4.59,8.61,6.09,6.27,7.82,6.66,9.36,1.48,5.4,6.45,0.52,0,2.45,1.07,3.02,1.21,1.34,7.52,7.87,11.52,6.15,0.98,9.22,0,7.16,10.04,4.47,6.05,6.01,10.82,7.96,4.06,1.7,9.14,4.14,6.18,3.52,8.77,7.14,4.67,7.15,1.28,8.56,5.85346153846154,macrophage,DeconRNASeq
naive.thymus.derived.cd4.positive.alpha.beta.t.cell3,0,0,0,0,0,0,0,0,0,0,0.32,0,0,3.37,0.8,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0.19,0,0,0,0,0,0.95,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,11.92,0,0,0,0,0,0.49,0,0,0,0,0.292435897435897,naive.thymus.derived.cd4.positive.alpha.beta.t.cell,DeconRNASeq
intermediate.monocyte3,5.17,0.38,0,2.29,3.43,2.3,0.6,3.03,1.39,1.93,2.11,1.2,1.66,0,0.12,2.32,0,0.91,1.45,0.78,2.45,2.84,0,1.21,1.46,0.33,0.31,1.41,0,1.33,0.91,0,0,6.03,0.55,1.47,2.67,0.62,0.09,0,1.62,3.8,0,0.64,1.26,0,0,0,0.75,0,0,0,1.91,0.71,0.12,0.44,0,1.81,0,1.61,1.83,1.25,3.19,0.79,0.1,0.85,3.53,0,1.94,7.92,2.05,0,0,1.38,2.69,1.51,0.93,0,1.27410256410256,intermediate.monocyte,DeconRNASeq
endothelial.cell3,13.51,16.47,14.67,15.97,14.75,13.88,13.17,15.56,13.45,12.1,12.71,17.77,14.92,21.13,17.38,16.64,13,13.72,15.61,11.99,16.72,15.29,13.52,14.49,17.51,11.04,13.14,13.08,12.26,14.59,16.84,11.21,16.16,11.12,14.12,11.22,17.68,13.11,15.9,13.61,14.03,14.01,12.04,14,16.34,14.73,26.82,22.19,27.54,13.78,26.49,25.76,16.52,16.21,16.33,16.53,9.42,14.99,13.01,16.01,15.35,11.68,15,12.91,16.41,12.66,14.84,26.48,16.89,10.29,15.84,14.67,13.41,14.98,9.91,19.48,16.94,14.29,15.3819230769231,endothelial.cell,DeconRNASeq
