,kidney epithelial cell,b cell,cd8-positive alpha-beta t cell,endothelial cell,macrophage,nk cell,cd4-positive helper t cell
PLEKHA2,0.420140544828347,0.809271580793641,0.584360282450791,0.447487520230444,0.813588436193927,0.87524421774704,0.517129965250005
HTRA4,0,0.0586510263929619,0,0,0.0757030192936692,0.0763358778625954,0
TM2D2,0.612253438967099,0.15472939287113,0.207010209807716,0.717070233821869,0.367866375364619,0.136959339826162,0.208851915696708
ADAM9,0.468722677820371,0.040780952948629,0.0818615998469942,0.852271412548266,0.729492924109426,0.105305971990105,0.0109226466542449
RF00212,0,0,0,0,0,0,0
ADAM32,0.0160730923084977,0,0,0.172577812797145,0.0311526479750779,0,0
RPL3P10,0,0,0,0,0,0,0
ADAM5,0,0,0,0,0.0311526479750779,0,0
ADAM3A,0,0,0,0.105263157894737,0,0,0
ADAM18,0.0024006721882127,0,0,0,0,0,0
ADAM2,0,0,0,0,0,0,0
IDO1,0,0,0,0.048812629047193,0.127081459556413,0,0
IDO2,0,0,0,0,0,0,0
TCIM,0.0141919017439057,0,0,1.3294814680752,0.0256945630100286,0,0
SIRLNT,0,0,0,0,0,0,0
ZMAT4,0.00120033609410635,0,0.04149377593361,0,0,0.381679389312977,0
RNU6-356P,0,0,0,0,0.0311526479750779,0,0
SFRP1,0.0078157887726668,0,0,0.542620583584434,0.015532318305375,0,0
MIR548AO,0,0,0,0,0,0,0
RPS29P2,0,0,0,0,0,0,0
RNU6-895P,0,0,0,0,0,0,0
SNORD65B,0,0,0,0,0,0,0
GOLGA7,1.0467569954231,0.156291158842551,0.48766750344597,0.333736888358467,0.709047991167348,0.679187653856423,0.36424453284859
KRT18P37,0,0,0.04149377593361,0,0,0,0
GINS4,0.13363840521033,0.1063476070281,0.215393177824891,0.0870916692834151,0.186567303547607,0.15591294164876,0.172690278258772
GPAT4,0.676746310136095,0.32832571785471,0.221703636201091,0.72865424156189,0.585816683056198,0.242326250513091,0.232348148335409
NKX6-3,0,0,0,0,0,0,0
ANK1,0.0138821995082329,0.227403148309576,0,0.168167043987073,0.0328529542108934,0,0.310954665610803
MIR486-1,0,0,0,0,0,0,0
MIR486-2,0,0,0,0,0,0,0
RF00019-354,0,0,0,0,0,0,0
RN7SL149P,0.00120033609410635,0,0,0,0.0311526479750779,0,0
KAT6A,0.249978507752572,0.763752926643555,0.872750625678983,1.19541953049208,0.939018208429078,0.958522709953876,0.805853203597648
RF01169,0,0,0,0,0,0.0763358778625954,0
AP3M2,0.180995049292465,0.251229328843506,0.44734866278733,0.56488046457893,0.0992099127944013,0.360266157688985,0.551654331324344
PLAT,0.000333969689777756,0.00668194356901555,0.047563027049496,3.23408676574105,0.0275695330443041,0.0258920756915143,0.0924268434060871
IKBKB,0.129838364081872,0.630060437269225,0.613543318144019,1.14486397096985,0.671723808083579,0.993394545926393,0.506112585410229
POLB,0.32904084700952,0.132308960660112,0.300774272052084,0.0372886845940038,0.229700195455106,0.385566526042824,0.190428388711497
RPL5P23,0.00148262776628489,0.00571558989387803,0.00333636677611418,0,0,0.00355129501291814,0.00389668493639698
DKK4,0,0,0,0,0,0,0
VDAC3,1.57881729855647,0.356871540595359,0.590252670231449,0.109340741759852,0.538246422170479,1.12330987890258,0.636657405829891
SLC20A2,0.148270305425985,0.220095441597473,0.324960851755874,0.449428035710987,0.241294315670881,0.463275696485097,0.192095242811171
SMIM19,1.32658673610926,0.335426471799699,0.455871553280047,0.146511425470051,0.439224629387306,0.48461275726898,0.426167694244595
CHRNB3,0,0,0,0,0,0,0
CHRNA6,0,0,0,0,0.0623052959501558,0,0.0552486187845304
THAP1,0.4439138036287,0.241991605598731,0.393554943231132,0.309910433543356,0.283174850859003,0.379140235995518,0.360355864242954
RNF170,0.468385012853676,0.367783464207328,0.281923916824626,0.666457781666204,0.441020379556674,0.585190907689451,0.297759158176612
RN7SL806P,0,0,0,0,0,0,0
MIR4469,0,0,0,0,0,0,0
HOOK3,0.556062796550318,0.275450868865262,0.499579160292614,1.16390044814662,1.24424581395642,0.485031969191236,0.369290334579036
RF00019-355,0,0,0,0,0,0,0
FNTA,0.73584568368696,0.647689107226486,0.701647282821509,0.796824655407353,0.550811292226441,0.853715153140876,0.748289767570423
RNU1-124P,0,0,0.04149377593361,0.210526315789474,0.124610591900312,0,0
POMK,0.0333794807417598,0.0879765395894428,0,0.0296272729572497,0.111444825323943,0.306799578643937,0.0520271122126289
HGSNAT,0.118260879750591,0.240819549543068,0.308500321017756,1.13592019394824,0.601080721412492,0.285788257613437,0.325226176180234
VN1R46P,0,0,0,0,0,0,0
AFG3L2P1,0,0,0,0,0,0,0
POTEA,0.00120033609410635,0,0,0,0,0,0
RNU6-104P,0,0,0,0,0,0,0
RF00012-25,0,0,0,0,0,0.0763358778625954,0
SNX18P27,0,0,0,0,0,0,0.0221226465636195
CYP4F44P,0,0,0,0,0,0,0
RF01518,0,0,0,0,0,0,0
HSPA8P13,0,0,0,0,0,0,0
